,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[0],2.109,0.744,0.741,3.559,0.024,0.017,984.0,785.0,1.0
intercept[1],0.282,0.734,-1.142,1.71,0.023,0.021,1013.0,614.0,1.0
intercept[2],-2.436,0.75,-3.723,-0.948,0.025,0.018,887.0,722.0,1.0
age[0],-0.224,0.861,-1.772,1.465,0.038,0.029,515.0,517.0,1.01
age[1],0.005,0.855,-1.693,1.508,0.038,0.028,512.0,496.0,1.01
age[2],0.354,0.855,-1.356,1.845,0.038,0.027,512.0,483.0,1.01
gender[0],-0.914,1.006,-2.691,0.957,0.037,0.027,742.0,753.0,1.0
gender[1],0.289,0.964,-1.744,1.874,0.036,0.029,725.0,654.0,1.0
gender[2],0.641,0.982,-1.164,2.565,0.036,0.028,726.0,763.0,1.0
smoking[0],-1.501,0.897,-3.218,0.156,0.036,0.026,612.0,613.0,1.0
smoking[1],0.102,0.849,-1.556,1.607,0.035,0.026,601.0,595.0,1.0
smoking[2],1.307,0.872,-0.22,2.961,0.035,0.025,623.0,666.0,1.0
fever[0],-2.06,0.997,-3.785,-0.059,0.037,0.027,728.0,650.0,1.0
fever[1],0.227,0.941,-1.63,1.875,0.034,0.027,767.0,620.0,1.0
fever[2],1.75,0.955,-0.117,3.458,0.035,0.025,736.0,807.0,1.01
vomiting[0],2.674,1.014,0.884,4.619,0.037,0.026,768.0,675.0,1.0
vomiting[1],0.094,0.948,-1.698,1.775,0.035,0.029,729.0,695.0,1.0
vomiting[2],-2.755,0.99,-4.526,-0.802,0.037,0.026,729.0,798.0,1.0
cutpoints[0],-1.214,1.117,-3.171,0.829,0.038,0.03,881.0,656.0,1.0
cutpoints[1],0.06,1.049,-1.885,2.08,0.029,0.032,1290.0,845.0,1.0
cutpoints[2],1.348,1.088,-0.533,3.409,0.031,0.023,1194.0,906.0,1.01
